sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
876000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
880500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
888000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
888000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
892500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
900000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
904500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
912000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
912000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
916500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
924000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
928500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
936000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
936000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
940500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
948000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
952500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
960000,8,accepted_control,CUT,UNSUPPORTED,5,4,3,0,192,0
960000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
960000,0,rhythm_commit,CUT,UNSUPPORTED,5,5,3,0,192,0
960000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
963000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
968000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
971000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
976000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
979000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
984000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
984000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
987000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
992000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
995000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1000000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1003000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1008000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1008000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1011000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1016000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1019000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1024000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
