sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1158000,0,opportunity,CUT,UNSUPPORTED,4,6,3,6,192,0
1164000,0,opportunity,CUT,UNSUPPORTED,4,6,3,1,192,1
1170000,0,opportunity,CUT,UNSUPPORTED,4,6,3,4,192,0
1176000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,4,192,0
1176000,0,opportunity,CUT,UNSUPPORTED,4,6,3,7,192,0
1182000,0,opportunity,CUT,UNSUPPORTED,4,6,3,2,192,1
1188000,0,opportunity,CUT,UNSUPPORTED,4,6,3,5,192,0
1194000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1200000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,1
1200000,0,opportunity,CUT,UNSUPPORTED,4,6,3,3,192,0
1206000,0,opportunity,CUT,UNSUPPORTED,4,6,3,6,192,0
1212000,0,opportunity,CUT,UNSUPPORTED,4,6,3,1,192,1
1218000,0,opportunity,CUT,UNSUPPORTED,4,6,3,4,192,0
1224000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,4,192,0
1224000,0,opportunity,CUT,UNSUPPORTED,4,6,3,7,192,0
1230000,0,opportunity,CUT,UNSUPPORTED,4,6,3,2,192,1
1236000,0,opportunity,CUT,UNSUPPORTED,4,6,3,5,192,0
1242000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1248000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,1
1248000,0,opportunity,CUT,UNSUPPORTED,4,6,3,3,192,0
1254000,0,opportunity,CUT,UNSUPPORTED,4,6,3,6,192,0
1260000,0,opportunity,CUT,UNSUPPORTED,4,6,3,1,192,1
1266000,0,opportunity,CUT,UNSUPPORTED,4,6,3,4,192,0
1272000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,4,192,0
1272000,0,opportunity,CUT,UNSUPPORTED,4,6,3,7,192,0
1278000,0,opportunity,CUT,UNSUPPORTED,4,6,3,2,192,1
1284000,0,opportunity,CUT,UNSUPPORTED,4,6,3,5,192,0
